"","Date reported to Alberta Health","Number of lab tests","Cumulative number of lab tests","Number of cases","Cumulative number of cases","Active cases","Currently hospitalized","Currently in ICU","Cumulative number of deaths","Number of deaths","Number of variants of concern","Percent positivity"
"1",2020-03-06,60,511,1,1,1,0,0,0,0,0,5
"2",2020-03-07,281,792,0,0,1,0,0,0,0,0,0
"3",2020-03-08,454,1246,0,0,1,0,0,0,0,0,0
"4",2020-03-09,643,1889,6,7,7,1,0,0,0,0,1.71
"5",2020-03-10,784,2673,9,16,16,1,0,0,0,0,1.91
"6",2020-03-11,1334,4007,7,23,23,1,0,0,0,0,0.6
"7",2020-03-12,1147,5154,3,26,26,2,1,0,0,0,0.26
"8",2020-03-13,1587,6741,8,34,34,5,2,0,0,0,1.2
"9",2020-03-14,1555,8296,22,56,55,5,2,0,0,0,1.93
"10",2020-03-15,1834,10130,11,67,66,5,2,0,0,0,0.87
"11",2020-03-16,1485,11615,24,91,90,6,2,0,0,0,2.63
"12",2020-03-17,2083,13698,11,102,101,7,3,0,0,0,0.48
"13",2020-03-18,2878,16576,29,131,128,12,3,1,1,0,1.88
"14",2020-03-19,2869,19445,32,163,159,15,8,1,0,0,1.67
"15",2020-03-20,3593,23038,47,210,203,16,9,1,0,0,1.64
"16",2020-03-21,3507,26545,35,245,237,19,10,1,0,0,1.17
"17",2020-03-22,2854,29399,47,292,277,20,10,1,0,0,1.26
"18",2020-03-23,2728,32127,53,345,324,22,10,1,0,0,1.65
"19",2020-03-24,3143,35270,68,413,384,29,11,1,0,0,1.81
"20",2020-03-25,1645,36915,63,476,439,33,11,1,0,0,3.65
"21",2020-03-26,1316,38231,53,529,480,34,11,1,0,0,2.74
"22",2020-03-27,3697,41928,85,614,543,35,13,1,0,0,2.41
"23",2020-03-28,2145,44073,54,668,562,38,14,1,0,0,2
"24",2020-03-29,1929,46002,34,702,566,41,15,5,4,0,0.98
"25",2020-03-30,2549,48551,40,742,562,43,17,10,5,0,1.18
"26",2020-03-31,4770,53321,132,874,657,43,18,11,1,0,2.56
"27",2020-04-01,3610,56931,108,982,714,42,20,12,1,0,2.3
"28",2020-04-02,4009,60940,122,1104,790,43,20,15,3,0,2.34
"29",2020-04-03,1723,62663,71,1175,806,45,19,18,3,0,2.44
"30",2020-04-04,1807,64470,60,1235,803,47,20,23,5,0,2.6
"31",2020-04-05,1185,65655,42,1277,781,44,20,25,2,0,3.21
"32",2020-04-06,941,66596,34,1311,729,45,18,28,3,0,2.66
"33",2020-04-07,1705,68301,53,1364,707,46,16,28,0,0,2.29
"34",2020-04-08,1288,69589,33,1397,668,49,16,32,4,0,2.17
"35",2020-04-09,2291,71880,45,1442,625,50,15,36,4,0,1.48
"36",2020-04-10,2851,74731,49,1491,590,52,15,40,4,0,1.4
"37",2020-04-11,2240,76971,65,1556,576,52,15,45,5,0,2.14
"38",2020-04-12,2305,79276,68,1624,594,50,15,45,0,0,2.52
"39",2020-04-13,2136,81412,68,1692,617,49,14,48,3,0,2.76
"40",2020-04-14,2572,83984,127,1819,698,48,15,48,0,0,4.67
"41",2020-04-15,3092,87076,133,1952,765,55,12,50,2,0,3.85
"42",2020-04-16,3099,90175,146,2098,870,58,13,50,0,0,4.94
"43",2020-04-17,5238,95413,213,2311,1031,63,14,54,4,0,4.01
"44",2020-04-18,3800,99213,187,2498,1171,56,16,57,3,0,4.79
"45",2020-04-19,4370,103583,201,2699,1331,62,19,62,5,0,4.51
"46",2020-04-20,4009,107592,183,2882,1467,62,18,66,4,0,4.71
"47",2020-04-21,4313,111905,264,3146,1691,61,20,72,6,0,5.91
"48",2020-04-22,4057,115962,294,3440,1944,64,19,75,3,0,7.2
"49",2020-04-23,4471,120433,340,3780,2223,65,18,80,5,0,7.67
"50",2020-04-24,4531,124964,232,4012,2405,70,21,80,0,0,5.16
"51",2020-04-25,4664,129628,222,4234,2554,70,19,84,4,0,4.97
"52",2020-04-26,4301,133929,203,4437,2679,75,21,88,4,0,4.49
"53",2020-04-27,3444,137373,178,4615,2742,77,20,90,2,0,5.14
"54",2020-04-28,4362,141735,249,4864,2848,79,23,94,4,0,5.89
"55",2020-04-29,5077,146812,231,5095,2923,86,22,96,2,0,4.53
"56",2020-04-30,5035,151847,222,5317,2932,89,22,100,4,0,4.37
"57",2020-05-01,2847,154694,141,5458,2877,82,23,102,2,0,4.25
"58",2020-05-02,4970,159664,112,5570,2806,83,19,104,2,0,2.25
"59",2020-05-03,3244,162908,70,5640,2701,83,21,106,2,0,2.37
"60",2020-05-04,2557,165465,79,5719,2542,82,21,107,1,0,2.89
"61",2020-05-05,3032,168497,62,5781,2328,84,20,111,4,0,2.01
"62",2020-05-06,2882,171379,65,5846,2056,79,19,112,1,0,2.22
"63",2020-05-07,4135,175514,87,5933,1889,78,18,115,3,0,2.18
"64",2020-05-08,3781,179295,77,6010,1772,73,16,115,0,0,2.17
"65",2020-05-09,4214,183509,85,6095,1665,64,14,117,2,0,1.97
"66",2020-05-10,3260,186769,71,6166,1548,65,12,118,1,0,2.18
"67",2020-05-11,2793,189562,47,6213,1328,64,11,121,3,0,1.75
"68",2020-05-12,3756,193318,70,6283,1182,65,11,124,3,0,1.86
"69",2020-05-13,4409,197727,62,6345,1031,61,9,124,0,0,1.47
"70",2020-05-14,4767,202494,61,6406,961,57,9,125,1,0,1.26
"71",2020-05-15,4700,207194,73,6479,921,52,9,126,1,0,1.57
"72",2020-05-16,3986,211180,54,6533,906,50,8,128,2,0,1.4
"73",2020-05-17,3189,214369,46,6579,868,50,9,129,1,0,1.57
"74",2020-05-18,3230,217599,38,6617,839,50,9,131,2,0,1.24
"75",2020-05-19,2503,220102,43,6660,811,45,8,132,1,0,1.8
"76",2020-05-20,3277,223379,27,6687,776,44,7,136,4,0,0.92
"77",2020-05-21,3722,227101,30,6717,726,42,6,138,2,0,0.83
"78",2020-05-22,3823,230924,27,6744,658,39,6,138,0,0,0.86
"79",2020-05-23,3861,234785,32,6776,622,35,7,139,1,0,0.83
"80",2020-05-24,3234,238019,29,6805,597,33,6,139,0,0,0.87
"81",2020-05-25,2958,240977,13,6818,552,33,5,141,2,0,0.44
"82",2020-05-26,3056,244033,19,6837,500,33,5,143,2,0,0.65
"83",2020-05-27,3603,247636,27,6864,468,31,4,143,0,0,0.78
"84",2020-05-28,3903,251539,28,6892,434,32,4,143,0,0,0.74
"85",2020-05-29,3862,255401,30,6922,402,33,5,144,1,0,0.78
"86",2020-05-30,3364,258765,20,6942,380,27,6,144,0,0,0.62
"87",2020-05-31,3133,261898,34,6976,379,24,6,144,0,0,1.09
"88",2020-06-01,2734,264632,21,6997,362,24,6,145,1,0,0.77
"89",2020-06-02,4055,268687,19,7016,343,25,6,146,1,0,0.62
"90",2020-06-03,4781,273468,18,7034,329,20,6,147,1,0,0.38
"91",2020-06-04,5416,278884,19,7053,325,18,5,147,0,0,0.39
"92",2020-06-05,5604,284488,37,7090,329,18,5,148,1,0,0.75
"93",2020-06-06,5870,290358,23,7113,321,18,5,150,2,0,0.44
"94",2020-06-07,5490,295848,33,7146,343,20,5,150,0,0,0.62
"95",2020-06-08,4976,300824,24,7170,343,19,5,151,1,0,0.52
"96",2020-06-09,5923,306747,38,7208,356,16,5,151,0,0,0.69
"97",2020-06-10,6850,313597,48,7256,372,16,4,151,0,0,0.73
"98",2020-06-11,8477,322074,43,7299,381,16,4,151,0,0,0.51
"99",2020-06-12,6183,328257,27,7326,384,20,5,151,0,0,0.44
"100",2020-06-13,7665,335922,35,7361,399,18,5,151,0,0,0.52
"101",2020-06-14,7459,343381,53,7414,425,20,6,151,0,0,0.76
"102",2020-06-15,6366,349747,36,7450,440,25,6,151,0,0,0.58
"103",2020-06-16,6970,356717,45,7495,476,27,7,151,0,0,0.67
"104",2020-06-17,7821,364538,46,7541,479,28,7,152,1,0,0.64
"105",2020-06-18,9100,373638,46,7587,501,30,6,152,0,0,0.57
"106",2020-06-19,7400,381038,47,7634,515,30,6,152,0,0,0.65
"107",2020-06-20,8324,389362,30,7664,523,27,7,152,0,0,0.38
"108",2020-06-21,6895,396257,33,7697,530,28,6,153,1,0,0.51
"109",2020-06-22,6542,402799,41,7738,516,26,6,153,0,0,0.61
"110",2020-06-23,6518,409317,45,7783,521,28,7,153,0,0,0.81
"111",2020-06-24,6367,415684,25,7808,488,27,8,153,0,0,0.47
"112",2020-06-25,6634,422318,36,7844,489,30,8,154,1,0,0.57
"113",2020-06-26,6396,428714,66,7910,495,32,8,154,0,0,1.13
"114",2020-06-27,6509,435223,37,7947,493,32,8,154,0,0,0.61
"115",2020-06-28,6997,442220,68,8015,531,32,9,154,0,0,1.03
"116",2020-06-29,7199,449419,44,8059,521,32,9,154,0,0,0.64
"117",2020-06-30,6952,456371,33,8092,518,32,8,155,1,0,0.62
"118",2020-07-01,7675,464046,64,8156,519,30,8,155,0,0,0.86
"119",2020-07-02,6739,470785,55,8211,551,33,9,155,0,0,0.91
"120",2020-07-03,5960,476745,30,8241,558,38,8,155,0,0,0.55
"121",2020-07-04,5545,482290,48,8289,564,46,7,156,1,0,0.92
"122",2020-07-05,5602,487892,48,8337,587,46,6,156,0,0,1.09
"123",2020-07-06,6014,493906,49,8386,601,47,6,156,0,0,0.78
"124",2020-07-07,6268,500174,44,8430,588,47,7,158,2,0,0.78
"125",2020-07-08,6970,507144,43,8473,572,41,7,159,1,0,0.66
"126",2020-07-09,7804,514948,74,8547,583,41,9,162,3,0,0.96
"127",2020-07-10,7528,522476,62,8609,564,43,8,162,0,0,0.85
"128",2020-07-11,10003,532479,90,8699,619,44,11,162,0,0,1.01
"129",2020-07-12,7595,540074,78,8777,670,46,13,162,0,0,1.12
"130",2020-07-13,5809,545883,87,8864,698,56,13,163,1,0,1.62
"131",2020-07-14,6386,552269,85,8949,703,61,7,166,3,0,1.44
"132",2020-07-15,8225,560494,115,9064,803,64,8,166,0,0,1.62
"133",2020-07-16,6484,566978,103,9167,856,68,15,167,1,0,1.73
"134",2020-07-17,9719,576697,168,9335,975,75,16,167,0,0,1.89
"135",2020-07-18,6857,583554,102,9437,1038,75,15,170,3,0,1.63
"136",2020-07-19,6961,590515,88,9525,1100,76,17,171,1,0,1.39
"137",2020-07-20,7817,598332,131,9656,1178,85,16,173,2,0,1.69
"138",2020-07-21,8156,606488,136,9792,1247,92,18,175,2,0,1.77
"139",2020-07-22,8230,614718,113,9905,1286,94,21,177,2,0,1.37
"140",2020-07-23,8741,623459,116,10021,1335,90,21,179,2,0,1.4
"141",2020-07-24,10589,634048,117,10138,1363,88,16,182,3,0,1.18
"142",2020-07-25,9855,643903,98,10236,1393,78,16,184,2,0,1.07
"143",2020-07-26,7443,651346,89,10325,1418,79,17,187,3,0,1.36
"144",2020-07-27,7910,659256,81,10406,1382,79,15,190,3,0,1.13
"145",2020-07-28,8989,668245,131,10537,1414,76,16,194,4,0,1.57
"146",2020-07-29,8674,676919,118,10655,1404,77,17,195,1,0,1.43
"147",2020-07-30,8392,685311,124,10779,1387,75,16,196,1,0,1.55
"148",2020-07-31,11514,696825,99,10878,1339,75,17,200,4,0,1.01
"149",2020-08-01,9148,705973,67,10945,1300,71,18,200,0,0,0.75
"150",2020-08-02,6934,712907,73,11018,1309,72,17,200,0,0,1.1
"151",2020-08-03,7246,720153,64,11082,1204,72,22,203,3,0,1.02
"152",2020-08-04,7203,727356,94,11176,1160,65,21,204,1,0,1.36
"153",2020-08-05,7991,735347,61,11237,1123,62,19,207,3,0,0.76
"154",2020-08-06,8561,743908,128,11365,1140,55,18,209,2,0,1.55
"155",2020-08-07,8780,752688,111,11476,1078,54,17,209,0,0,1.34
"156",2020-08-08,10167,762855,97,11573,1094,54,18,214,5,0,0.97
"157",2020-08-09,7414,770269,45,11618,1078,51,15,216,2,0,0.63
"158",2020-08-10,7061,777330,86,11704,988,49,15,218,2,0,1.39
"159",2020-08-11,8079,785409,116,11820,1019,47,14,220,2,0,1.57
"160",2020-08-12,7751,793160,72,11892,1007,49,13,222,2,0,1.01
"161",2020-08-13,8210,801370,81,11973,1001,48,13,222,0,0,1.12
"162",2020-08-14,10890,812260,104,12077,1022,46,13,222,0,0,0.99
"163",2020-08-15,8658,820918,83,12160,1056,48,13,225,3,0,0.95
"164",2020-08-16,8693,829611,95,12255,1085,50,11,226,1,0,1.13
"165",2020-08-17,8034,837645,85,12340,1127,53,14,227,1,0,1.19
"166",2020-08-18,9037,846682,81,12421,1069,52,15,228,1,0,1.01
"167",2020-08-19,9294,855976,101,12522,1049,50,15,229,1,0,1.25
"168",2020-08-20,9870,865846,140,12662,1112,44,12,229,0,0,1.45
"169",2020-08-21,10177,876023,88,12750,1096,48,12,231,2,0,0.9
"170",2020-08-22,10096,886119,103,12853,1126,47,10,232,1,0,1.05
"171",2020-08-23,8498,894617,70,12923,1145,48,10,236,4,0,0.87
"172",2020-08-24,8446,903063,73,12996,1114,48,8,236,0,0,0.96
"173",2020-08-25,9248,912311,125,13121,1155,51,8,236,0,0,1.44
"174",2020-08-26,10103,922414,104,13225,1133,53,8,237,1,0,1.17
"175",2020-08-27,10997,933411,153,13378,1162,51,8,237,0,0,1.42
"176",2020-08-28,10222,943633,142,13520,1217,47,9,237,0,0,1.44
"177",2020-08-29,11224,954857,181,13701,1323,44,9,237,0,0,1.75
"178",2020-08-30,12265,967122,109,13810,1356,49,11,238,1,0,1.02
"179",2020-08-31,9342,976464,152,13962,1373,52,11,239,1,0,1.69
"180",2020-09-01,8305,984769,109,14071,1380,53,10,240,1,0,1.38
"181",2020-09-02,9557,994326,132,14203,1391,50,10,240,0,0,1.44
"182",2020-09-03,10721,1005047,157,14360,1417,52,11,241,1,0,1.5
"183",2020-09-04,11395,1016442,169,14529,1489,52,13,242,1,0,1.61
"184",2020-09-05,11374,1027816,168,14697,1599,51,13,244,2,0,1.58
"185",2020-09-06,12100,1039916,134,14831,1660,49,11,245,1,0,1.19
"186",2020-09-07,12570,1052486,147,14978,1672,48,10,249,4,0,1.26
"187",2020-09-08,10507,1062993,97,15075,1558,49,7,250,1,0,1
"188",2020-09-09,9716,1072709,113,15188,1473,44,7,250,0,0,1.25
"189",2020-09-10,11983,1084692,116,15304,1423,42,6,251,1,0,0.98
"190",2020-09-11,12763,1097455,115,15419,1376,43,6,252,1,0,0.94
"191",2020-09-12,18920,1116375,166,15585,1455,44,7,252,0,0,0.89
"192",2020-09-13,14459,1130834,137,15722,1509,41,7,252,0,0,1
"193",2020-09-14,12992,1143826,123,15845,1461,48,9,252,0,0,0.96
"194",2020-09-15,12547,1156373,170,16015,1466,46,8,252,0,0,1.41
"195",2020-09-16,18136,1174509,182,16197,1491,47,8,252,0,0,1.05
"196",2020-09-17,12707,1187216,125,16322,1452,51,8,252,0,0,1.05
"197",2020-09-18,13830,1201046,137,16459,1434,58,9,252,0,0,1.03
"198",2020-09-19,14062,1215108,120,16579,1472,59,11,253,1,0,0.89
"199",2020-09-20,16262,1231370,152,16731,1547,60,12,254,1,0,0.97
"200",2020-09-21,13500,1244870,156,16887,1653,60,12,256,2,0,1.24
"201",2020-09-22,13662,1258532,128,17015,1612,61,13,258,2,0,1
"202",2020-09-23,13663,1272195,129,17144,1545,64,15,260,2,0,1.04
"203",2020-09-24,16685,1288880,124,17268,1551,68,15,260,0,0,0.85
"204",2020-09-25,14630,1303510,175,17443,1597,70,16,261,1,0,1.28
"205",2020-09-26,18583,1322093,155,17598,1623,69,16,262,1,0,0.91
"206",2020-09-27,14135,1336228,121,17719,1632,72,14,263,1,0,0.94
"207",2020-09-28,12583,1348811,127,17846,1629,70,12,263,0,0,1.08
"208",2020-09-29,15567,1364378,175,18021,1664,70,12,264,1,0,1.16
"209",2020-09-30,15243,1379621,154,18175,1668,74,13,268,4,0,1.05
"210",2020-10-01,14111,1393732,147,18322,1651,74,15,271,3,0,1.16
"211",2020-10-02,15888,1409620,222,18544,1736,79,16,275,4,0,1.5
"212",2020-10-03,14894,1424514,196,18740,1824,80,16,277,2,0,1.35
"213",2020-10-04,14479,1438993,213,18953,1926,76,14,278,1,0,1.49
"214",2020-10-05,18042,1457035,206,19159,1976,79,16,278,0,0,1.2
"215",2020-10-06,11770,1468805,243,19402,2082,88,15,280,2,0,2.12
"216",2020-10-07,13980,1482785,218,19620,2132,92,13,281,1,0,1.68
"217",2020-10-08,15356,1498141,186,19806,2158,91,11,282,1,0,1.35
"218",2020-10-09,16199,1514340,258,20064,2249,91,12,283,1,0,1.67
"219",2020-10-10,13888,1528228,250,20314,2375,98,14,284,1,0,1.93
"220",2020-10-11,16677,1544905,241,20555,2478,101,16,285,1,0,1.57
"221",2020-10-12,11474,1556379,221,20776,2548,103,13,285,0,0,2.03
"222",2020-10-13,14901,1571280,242,21018,2624,103,13,287,2,0,1.7
"223",2020-10-14,12796,1584076,242,21260,2674,107,14,287,0,0,2.01
"224",2020-10-15,14179,1598255,319,21579,2762,117,9,288,1,0,2.36
"225",2020-10-16,16032,1614287,307,21886,2829,117,11,289,1,0,2.01
"226",2020-10-17,12565,1626852,225,22111,2872,122,12,289,0,0,1.85
"227",2020-10-18,13598,1640450,370,22481,3078,120,15,291,2,0,2.89
"228",2020-10-19,13019,1653469,324,22805,3146,119,14,293,2,0,2.63
"229",2020-10-20,14955,1668424,392,23197,3301,113,14,295,2,0,2.88
"230",2020-10-21,14333,1682757,436,23633,3450,107,16,297,2,0,3.18
"231",2020-10-22,15548,1698305,442,24075,3594,106,13,301,4,0,2.89
"232",2020-10-23,16389,1714694,390,24465,3728,105,14,304,3,0,2.5
"233",2020-10-24,17134,1731828,578,25043,4129,107,16,306,2,0,3.54
"234",2020-10-25,12689,1744517,500,25543,4423,109,15,307,1,0,4.12
"235",2020-10-26,9649,1754166,416,25959,4679,116,15,309,2,0,4.57
"236",2020-10-27,10962,1765128,407,26366,4736,121,19,314,5,0,3.94
"237",2020-10-28,12858,1777986,479,26845,4865,130,17,320,6,0,3.94
"238",2020-10-29,13649,1791635,614,27459,5121,140,24,323,3,0,4.83
"239",2020-10-30,13827,1805462,589,28048,5385,135,23,326,3,0,4.39
"240",2020-10-31,13203,1818665,524,28572,5619,141,23,333,7,0,4.17
"241",2020-11-01,11638,1830303,605,29177,5947,151,27,338,5,0,5.34
"242",2020-11-02,8970,1839273,571,29748,6086,153,27,341,3,0,6.61
"243",2020-11-03,11167,1850440,537,30285,6231,157,31,350,9,0,5.05
"244",2020-11-04,14099,1864539,771,31056,6573,158,31,354,4,0,5.74
"245",2020-11-05,14153,1878692,736,31792,6914,170,31,361,7,0,5.48
